Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-11-10,2022-12-12,ADANIPOWER,BUY,172,73.16,63.0,-1747.52,-1752.2
2023-03-15,2023-05-03,ADANIPOWER,SELL,234,38.83,30.57,-1932.84,-1936.86
2023-06-27,2023-08-21,ADANIPOWER,BUY,231,51.0,61.34,2388.54,2383.35
2023-10-11,2023-11-29,ADANIPOWER,BUY,179,70.6,91.34,3712.46,3706.66
2024-02-23,2024-04-04,ADANIPOWER,BUY,113,112.4,126.03,1540.19,1534.8
2024-05-09,2024-05-22,ADANIPOWER,BUY,127,117.88,137.58,2501.9,2495.41
2024-07-10,2024-08-29,ADANIPOWER,BUY,99,146.81,128.0,-1862.19,-1867.63
2024-09-25,2024-10-18,ADANIPOWER,BUY,121,134.0,121.8,-1476.2,-1482.39
2024-12-02,2025-01-14,ADANIPOWER,SELL,71,111.41,130.82,1378.11,1375.22
2025-01-22,2025-09-09,ADANIPOWER,SELL,92,106.18,84.76,-1970.64,-1974.94
2025-11-17,2026-01-21,ADANIPOWER,BUY,95,155.35,137.5,-1695.75,-1701.31
2026-02-18,2026-04-09,ADANIPOWER,BUY,97,144.5,168.95,2371.65,2365.57
