Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-07-01,2022-07-29,ADANIPOWER,SELL,339,52.57,40.49,-4095.12,-4103.07
2022-09-16,2022-10-17,ADANIPOWER,BUY,288,79.8,66.0,-3974.4,-3982.8
2022-11-04,2022-12-13,ADANIPOWER,SELL,321,67.6,73.1,1765.5,1757.17
2023-03-23,2023-04-28,ADANIPOWER,BUY,436,40.34,43.13,1216.44,1209.16
2023-05-22,2023-05-23,ADANIPOWER,BUY,492,48.8,52.05,1599.0,1589.08
2023-07-21,2023-08-01,ADANIPOWER,SELL,647,48.63,42.09,-4231.38,-4244.81
2023-10-23,2023-10-25,ADANIPOWER,SELL,361,68.12,70.85,985.53,975.89
2023-11-28,2023-11-29,ADANIPOWER,BUY,326,81.4,91.34,3240.44,3229.18
2024-01-29,2024-01-30,ADANIPOWER,BUY,231,114.0,115.0,231.0,220.42
2024-02-23,2024-04-04,ADANIPOWER,BUY,213,112.4,126.03,2903.19,2893.03
2024-04-18,2024-05-22,ADANIPOWER,BUY,205,122.39,137.58,3113.95,3103.29
2024-08-23,2024-08-27,ADANIPOWER,SELL,213,137.4,141.8,937.2,925.68
2024-09-04,2024-09-12,ADANIPOWER,SELL,214,129.86,133.02,676.24,665.26
2024-09-16,2024-10-18,ADANIPOWER,SELL,238,132.2,142.6,2475.2,2463.11
2024-11-08,2024-11-13,ADANIPOWER,SELL,267,119.8,127.6,2082.6,2070.22
2024-12-11,2025-01-14,ADANIPOWER,SELL,199,105.4,118.8,2666.6,2658.74
2025-02-04,2025-02-25,ADANIPOWER,SELL,226,102.6,111.18,1939.08,1930.19
2025-03-03,2025-04-22,ADANIPOWER,SELL,267,97.52,80.24,-4613.76,-4625.1
2025-05-06,2025-06-11,ADANIPOWER,BUY,228,111.98,120.55,1953.96,1943.36
2025-06-16,2025-07-09,ADANIPOWER,BUY,272,113.59,120.51,1882.24,1869.51
2025-08-26,2025-09-09,ADANIPOWER,BUY,374,120.98,127.6,2475.88,2457.28
2025-12-18,2026-01-27,ADANIPOWER,SELL,301,143.0,151.0,2408.0,2391.26
2026-03-09,2026-03-18,ADANIPOWER,SELL,256,136.5,117.0,-4992.0,-5006.98
2026-04-02,2026-04-06,ADANIPOWER,BUY,186,154.5,162.0,1395.0,1383.23
