Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-06-07,2022-07-13,ADANIPOWER,BUY,114,59.99,59.68,-35.34,-38.07
2022-09-16,2022-10-17,ADANIPOWER,BUY,129,79.8,66.0,-1780.2,-1783.96
2022-11-03,2022-11-22,ADANIPOWER,SELL,141,68.2,70.0,253.8,250.0
2023-01-02,2023-01-05,ADANIPOWER,SELL,159,60.6,63.61,478.59,474.83
2023-03-28,2023-05-02,ADANIPOWER,SELL,193,35.79,25.58,-1970.53,-1973.69
2023-05-22,2023-05-23,ADANIPOWER,BUY,215,48.8,52.05,698.75,694.41
2023-07-31,2023-08-01,ADANIPOWER,BUY,242,52.0,55.17,767.14,761.95
2023-10-30,2023-11-03,ADANIPOWER,BUY,116,70.88,75.36,519.68,516.29
2023-11-28,2023-11-29,ADANIPOWER,BUY,148,81.4,91.34,1471.12,1466.01
2024-01-29,2024-01-30,ADANIPOWER,BUY,103,114.0,115.0,103.0,98.28
2024-02-23,2024-04-03,ADANIPOWER,BUY,95,112.4,118.0,532.0,527.62
2024-04-18,2024-05-02,ADANIPOWER,BUY,89,122.39,123.6,107.69,103.31
2024-05-10,2024-05-15,ADANIPOWER,BUY,99,123.0,126.0,297.0,292.07
2024-06-21,2024-08-01,ADANIPOWER,BUY,54,148.63,144.0,-250.02,-253.18
2024-09-04,2024-09-06,ADANIPOWER,SELL,89,129.86,130.92,94.34,89.74
2024-09-16,2024-10-08,ADANIPOWER,SELL,99,132.2,139.42,714.78,709.69
2024-10-14,2024-10-17,ADANIPOWER,SELL,111,128.5,131.8,366.3,360.67
2024-11-08,2024-11-12,ADANIPOWER,SELL,109,119.8,123.64,418.56,413.42
2024-12-05,2024-12-20,ADANIPOWER,SELL,68,108.0,113.72,388.96,386.1
2025-01-03,2025-01-13,ADANIPOWER,SELL,100,104.6,113.99,939.0,935.0
2025-01-24,2025-02-20,ADANIPOWER,SELL,82,104.51,113.02,697.82,694.53
2025-03-03,2025-04-22,ADANIPOWER,SELL,106,97.52,80.24,-1831.68,-1836.18
2025-05-06,2025-06-11,ADANIPOWER,BUY,92,111.98,120.55,788.44,784.16
2025-06-16,2025-06-30,ADANIPOWER,BUY,109,113.59,117.9,469.79,464.74
2025-07-30,2025-09-09,ADANIPOWER,BUY,140,118.8,127.6,1232.0,1225.1
2025-11-06,2026-01-27,ADANIPOWER,BUY,73,158.36,135.0,-1705.28,-1709.56
