Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-11-10,2022-11-16,ADANIPOWER,BUY,258,73.16,71.3,-479.88,-487.33
2023-03-15,2023-04-03,ADANIPOWER,SELL,356,38.83,38.66,-60.52,-66.06
2023-04-13,2023-04-21,ADANIPOWER,SELL,387,38.49,36.98,-584.37,-590.44
2023-06-30,2023-07-10,ADANIPOWER,BUY,375,51.2,48.94,-847.5,-855.01
2023-07-31,2023-08-17,ADANIPOWER,BUY,425,52.0,56.92,2091.0,2081.74
2023-10-11,2023-10-16,ADANIPOWER,BUY,272,70.6,68.22,-647.36,-654.91
2023-10-20,2023-10-25,ADANIPOWER,BUY,289,68.6,65.39,-927.69,-935.43
2023-10-30,2023-11-17,ADANIPOWER,BUY,204,70.88,77.9,1432.08,1426.01
2024-02-23,2024-02-29,ADANIPOWER,BUY,165,112.4,110.67,-285.45,-292.81
2024-03-04,2024-03-13,ADANIPOWER,BUY,183,111.16,111.53,67.71,59.56
2024-04-02,2024-04-04,ADANIPOWER,BUY,168,115.0,126.03,1853.04,1844.94
2024-05-09,2024-05-22,ADANIPOWER,BUY,187,117.88,137.58,3683.9,3674.35
2024-07-10,2024-07-15,ADANIPOWER,BUY,147,146.81,142.0,-707.07,-715.56
2024-07-29,2024-08-06,ADANIPOWER,BUY,146,143.8,139.39,-643.86,-652.13
2024-09-25,2024-09-27,ADANIPOWER,BUY,181,134.0,133.0,-181.0,-190.67
2024-12-02,2024-12-13,ADANIPOWER,SELL,107,111.41,114.9,373.43,368.74
2025-01-01,2025-01-14,ADANIPOWER,SELL,163,106.2,120.4,2314.6,2308.14
2025-01-22,2025-01-30,ADANIPOWER,SELL,140,106.18,107.56,193.2,187.29
2025-01-31,2025-02-13,ADANIPOWER,SELL,154,101.69,102.78,167.86,161.63
2025-02-14,2025-02-27,ADANIPOWER,SELL,195,100.1,99.6,-97.5,-105.33
2025-02-28,2025-03-06,ADANIPOWER,SELL,194,99.0,96.4,-504.4,-512.18
2025-03-07,2025-03-13,ADANIPOWER,SELL,195,100.98,98.58,-468.0,-475.97
2025-03-26,2025-04-04,ADANIPOWER,SELL,220,101.8,98.0,-836.0,-845.12
2025-04-11,2025-04-22,ADANIPOWER,SELL,183,103.73,92.66,-2025.81,-2033.81
2025-05-05,2025-05-13,ADANIPOWER,SELL,182,105.6,101.89,-675.22,-683.04
2025-07-30,2025-08-04,ADANIPOWER,BUY,240,118.8,113.4,-1296.0,-1307.15
2025-08-05,2025-08-22,ADANIPOWER,BUY,219,116.8,119.4,569.4,559.05
2025-08-26,2025-09-10,ADANIPOWER,BUY,252,120.98,129.4,2121.84,2109.22
2025-11-17,2025-11-19,ADANIPOWER,BUY,144,155.35,150.3,-727.2,-736.0
2025-11-20,2025-11-24,ADANIPOWER,BUY,154,152.29,150.0,-352.66,-361.97
2025-11-27,2025-12-02,ADANIPOWER,BUY,173,149.15,147.3,-320.05,-330.31
2026-01-02,2026-01-09,ADANIPOWER,BUY,204,149.0,143.2,-1183.2,-1195.12
2026-02-18,2026-02-20,ADANIPOWER,BUY,146,144.5,140.45,-591.3,-599.62
2026-02-25,2026-03-04,ADANIPOWER,BUY,157,144.7,135.0,-1522.9,-1531.68
2026-03-13,2026-03-20,ADANIPOWER,BUY,144,151.0,152.0,144.0,135.27
