Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-11-10,2022-11-18,ADANIPOWER,BUY,258,73.16,67.99,-1333.86,-1341.14
2023-03-15,2023-05-03,ADANIPOWER,SELL,353,38.83,30.57,-2915.78,-2921.85
2023-06-30,2023-08-21,ADANIPOWER,BUY,363,51.2,61.34,3680.82,3672.65
2023-10-11,2023-10-25,ADANIPOWER,BUY,271,70.6,65.39,-1411.91,-1419.28
2023-10-30,2023-11-29,ADANIPOWER,BUY,203,70.88,91.34,4153.38,4146.79
2024-02-23,2024-03-21,ADANIPOWER,BUY,169,112.4,103.56,-1493.96,-1501.26
2024-04-02,2024-04-04,ADANIPOWER,BUY,170,115.0,126.03,1875.1,1866.9
2024-05-09,2024-05-22,ADANIPOWER,BUY,189,117.88,137.58,3723.3,3713.64
2024-07-10,2024-08-27,ADANIPOWER,BUY,149,146.81,133.0,-2057.69,-2066.03
2024-09-25,2024-10-08,ADANIPOWER,BUY,181,134.0,124.98,-1632.62,-1641.99
2024-12-02,2025-01-14,ADANIPOWER,SELL,106,111.41,130.82,2057.46,2053.15
2025-01-22,2025-06-11,ADANIPOWER,SELL,138,106.18,91.81,-1983.06,-1989.32
2025-07-30,2025-09-10,ADANIPOWER,BUY,241,118.8,129.4,2554.6,2542.63
2025-11-17,2025-12-05,ADANIPOWER,BUY,147,155.35,143.0,-1815.45,-1824.22
2026-01-02,2026-01-20,ADANIPOWER,BUY,206,149.0,141.5,-1545.0,-1556.97
2026-02-18,2026-04-09,ADANIPOWER,BUY,147,144.5,168.95,3594.15,3584.93
