Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-06-07,2022-07-28,ADANIPOWER,BUY,114,59.99,64.2,479.94,477.11
2022-09-16,2022-10-17,ADANIPOWER,BUY,129,79.8,66.0,-1780.2,-1783.96
2022-11-03,2022-12-13,ADANIPOWER,SELL,142,68.2,74.3,866.2,862.5
2023-01-02,2023-01-13,ADANIPOWER,SELL,161,60.6,66.22,904.82,901.1
2023-03-28,2023-05-02,ADANIPOWER,SELL,196,35.79,25.58,-2001.16,-2004.37
2023-05-22,2023-05-23,ADANIPOWER,BUY,218,48.8,52.05,708.5,704.1
2023-07-31,2023-08-01,ADANIPOWER,BUY,246,52.0,55.17,779.82,774.55
2023-10-30,2023-11-07,ADANIPOWER,BUY,118,70.88,78.78,932.2,928.67
2023-11-28,2023-11-29,ADANIPOWER,BUY,151,81.4,91.34,1500.94,1495.72
2024-01-29,2024-01-30,ADANIPOWER,BUY,105,114.0,115.0,105.0,100.19
2024-02-23,2024-04-04,ADANIPOWER,BUY,97,112.4,126.03,1322.11,1317.48
2024-04-18,2024-05-22,ADANIPOWER,BUY,92,122.39,137.58,1397.48,1392.7
2024-06-21,2024-10-22,ADANIPOWER,BUY,57,148.63,120.8,-1586.31,-1589.38
2024-11-08,2024-11-13,ADANIPOWER,SELL,111,119.8,127.6,865.8,860.65
2024-12-05,2025-01-14,ADANIPOWER,SELL,69,108.0,124.0,1104.0,1101.24
2025-01-24,2025-02-25,ADANIPOWER,SELL,83,104.51,115.0,870.67,867.37
2025-03-03,2025-04-22,ADANIPOWER,SELL,107,97.52,80.24,-1848.96,-1853.5
2025-05-06,2025-06-11,ADANIPOWER,BUY,94,111.98,120.55,805.58,801.21
2025-06-16,2025-07-09,ADANIPOWER,BUY,111,113.59,120.51,768.12,762.92
2025-07-30,2025-09-09,ADANIPOWER,BUY,142,118.8,127.6,1249.6,1242.6
2025-11-06,2026-01-27,ADANIPOWER,BUY,74,158.36,135.0,-1728.64,-1732.98
2026-04-02,2026-04-06,ADANIPOWER,BUY,75,154.5,162.0,562.5,557.75
