Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-06-07,2022-08-04,ADANIPOWER,BUY,114,59.99,68.99,1026.0,1023.06
2022-09-16,2022-10-17,ADANIPOWER,BUY,130,79.8,66.0,-1794.0,-1797.79
2022-11-03,2022-12-22,ADANIPOWER,SELL,143,68.2,78.4,1458.6,1454.99
2023-01-02,2023-01-30,ADANIPOWER,SELL,163,60.6,74.09,2198.87,2195.36
2023-03-28,2023-05-02,ADANIPOWER,SELL,200,35.79,25.58,-2042.0,-2045.27
2023-05-22,2023-05-24,ADANIPOWER,BUY,224,48.8,53.28,1003.52,998.95
2023-07-31,2023-08-22,ADANIPOWER,BUY,252,52.0,66.7,3704.4,3698.42
2023-10-30,2023-11-29,ADANIPOWER,BUY,125,70.88,91.34,2557.5,2553.44
2024-01-29,2024-04-05,ADANIPOWER,BUY,111,114.0,126.0,1332.0,1326.67
2024-04-18,2024-05-23,ADANIPOWER,BUY,96,122.39,140.0,1690.56,1685.52
2024-06-21,2024-10-22,ADANIPOWER,BUY,60,148.63,120.8,-1669.8,-1673.03
2024-11-08,2024-11-19,ADANIPOWER,SELL,117,119.8,133.2,1567.8,1562.51
2024-12-05,2025-09-22,ADANIPOWER,SELL,73,108.0,67.8,-2934.6,-2938.34
2025-11-06,2026-01-27,ADANIPOWER,BUY,75,158.36,135.0,-1752.0,-1756.4
2026-04-02,2026-04-09,ADANIPOWER,BUY,75,154.5,168.95,1083.75,1078.9
