Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-07-01,2022-07-29,ADANIPOWER,SELL,145,52.57,40.49,-1751.6,-1755.0
2022-09-16,2022-10-17,ADANIPOWER,BUY,126,79.8,66.0,-1738.8,-1742.47
2022-11-04,2022-12-13,ADANIPOWER,SELL,144,67.6,73.1,792.0,788.26
2023-03-23,2023-04-28,ADANIPOWER,BUY,194,40.34,43.13,541.26,538.02
2023-05-22,2023-05-23,ADANIPOWER,BUY,217,48.8,52.05,705.25,700.87
2023-07-21,2023-08-01,ADANIPOWER,SELL,283,48.63,42.09,-1850.82,-1856.69
2023-10-23,2023-10-25,ADANIPOWER,SELL,162,68.12,70.85,442.26,437.93
2023-11-28,2023-11-29,ADANIPOWER,BUY,145,81.4,91.34,1441.3,1436.29
2024-01-29,2024-01-30,ADANIPOWER,BUY,101,114.0,115.0,101.0,96.37
2024-02-23,2024-04-04,ADANIPOWER,BUY,93,112.4,126.03,1267.59,1263.15
2024-04-18,2024-05-22,ADANIPOWER,BUY,88,122.39,137.58,1336.72,1332.14
2024-08-23,2024-08-27,ADANIPOWER,SELL,90,137.4,141.8,396.0,391.13
2024-09-04,2024-09-12,ADANIPOWER,SELL,90,129.86,133.02,284.4,279.78
2024-09-16,2024-10-18,ADANIPOWER,SELL,99,132.2,142.6,1029.6,1024.57
2024-11-08,2024-11-13,ADANIPOWER,SELL,110,119.8,127.6,858.0,852.9
2024-12-11,2025-01-14,ADANIPOWER,SELL,81,105.4,118.8,1085.4,1082.2
2025-02-04,2025-02-25,ADANIPOWER,SELL,91,102.6,111.18,780.78,777.2
2025-03-03,2025-04-22,ADANIPOWER,SELL,106,97.52,80.24,-1831.68,-1836.18
2025-05-06,2025-06-11,ADANIPOWER,BUY,93,111.98,120.55,797.01,792.68
2025-06-16,2025-07-09,ADANIPOWER,BUY,110,113.59,120.51,761.2,756.05
2025-08-26,2025-09-09,ADANIPOWER,BUY,150,120.98,127.6,993.0,985.54
2025-12-18,2026-01-27,ADANIPOWER,SELL,119,143.0,151.0,952.0,945.38
2026-03-09,2026-03-18,ADANIPOWER,SELL,100,136.5,117.0,-1950.0,-1955.85
2026-04-02,2026-04-06,ADANIPOWER,BUY,74,154.5,162.0,555.0,550.32
